#wl,nm	T,%
1400	0.0145019107
1399	-0.0069924672
1398	0.0223010555
1397	0.0070755444
1396	0.0118868807
1395	0.0082250731
1394	0.0110373143
1393	0.0341008492
1392	0.0436596237
1391	0.0440593623
1390	0.008306914
1389	0.0537930466
1388	0.0386067517
1387	0.0586038791
1386	0.0382975489
1385	0.0670274049
1384	0.0204406176
1383	0.0783771277
1382	0.0073840674
1381	0.0399875268
1380	0.0454980917
1379	0.0421851724
1378	0.0469594747
1377	0.0877180994
1376	0.0641519651
1375	0.0727786198
1374	0.1077929512
1373	0.0702775866
1372	0.1274361908
1371	0.1341598332
1370	0.1069416627
1369	0.1029599085
1368	0.1684629768
1367	0.1562417746
1366	0.1960151196
1365	0.2002223581
1364	0.1929542124
1363	0.2525762022
1362	0.316647172
1361	0.3454149067
1360	0.4192610383
1359	0.439919889
1358	0.5355325341
1357	0.576462388
1356	0.7056752443
1355	0.7804775834
1354	0.9656957388
1353	1.1492908
1352	1.355126977
1351	1.5938586
1350	1.954217672
1349	2.300431967
1348	2.773630857
1347	3.384322405
1346	4.13083744
1345	4.927799702
1344	6.096495152
1343	7.580218315
1342	9.220962524
1341	11.39675713
1340	14.08520889
1339	17.28416061
1338	21.29693604
1337	26.30193901
1336	32.05689621
1335	38.48297119
1334	45.9041214
1333	53.51656723
1332	61.08792496
1331	68.62352753
1330	75.08383942
1329	80.02764893
1328	83.67017365
1327	86.0542984
1326	87.22625732
1325	87.67559814
1324	87.53939819
1323	87.11930847
1322	86.61026764
1321	86.08868408
1320	85.71342468
1319	85.41005707
1318	85.24131775
1317	85.31610107
1316	85.53282928
1315	85.88462067
1314	86.34075165
1313	86.79450989
1312	87.25012207
1311	87.62988281
1310	87.91165161
1309	88.08994293
1308	88.13819122
1307	88.14284515
1306	88.11980438
1305	87.96533203
1304	87.72750092
1303	87.41067505
1302	87.17323303
1301	86.93494415
1300	86.72596741
1299	86.6615448
1298	86.64123535
1297	86.69332886
1296	86.79524231
1295	86.96816254
1294	87.1108017
1293	87.41882324
1292	87.74115753
1291	88.01247406
1290	88.2556076
1289	88.45474243
1288	88.61530304
1287	88.67477417
1286	88.71309662
1285	88.69450378
1284	88.51568604
1283	88.27420807
1282	87.91294861
1281	87.54838562
1280	87.18558502
1279	86.87287903
1278	86.51031494
1277	86.21666718
1276	85.92770386
1275	85.78089142
1274	85.63478088
1273	85.5369339
1272	85.5176239
1271	85.60678101
1270	85.74433899
1269	85.98095703
1268	86.19115448
1267	86.38141632
1266	86.61956787
1265	86.8862915
1264	87.2230072
1263	87.46279907
1262	87.68777466
1261	87.91455078
1260	88.07881165
1259	88.20527649
1258	88.38101959
1257	88.5062561
1256	88.59481812
1255	88.75175476
1254	88.84466553
1253	88.92394257
1252	89.01025391
1251	89.21705627
1250	89.40812683
1249	89.63552856
1248	89.76049042
1247	89.9325943
1246	90.12737274
1245	90.29858398
1244	90.42564392
1243	90.5355835
1242	90.53678131
1241	90.53096008
1240	90.49743652
1239	90.42329407
1238	90.20602417
1237	90.00686646
1236	89.69277954
1235	89.44519806
1234	89.18196869
1233	88.84346771
1232	88.49617767
1231	88.18442535
1230	87.93527985
1229	87.82025909
1228	87.64202118
1227	87.58586884
1226	87.6103363
1225	87.71946716
1224	87.856987
1223	88.06860352
1222	88.27619171
1221	88.5370636
1220	88.85990143
1219	89.05477142
1218	89.27780151
1217	89.44218445
1216	89.6010437
1215	89.7171402
1214	89.73848724
1213	89.75395966
1212	89.70733643
1211	89.60559845
1210	89.47918701
1209	89.37956238
1208	89.28855896
1207	89.22163391
1206	89.11980438
1205	89.11566162
1204	89.16842651
1203	89.12699127
1202	89.13414764
1201	89.06356049
1200	88.95248413
1199	88.80488586
1198	88.49124146
1197	88.03546143
1196	87.50089264
1195	86.81552124
1194	86.16790771
1193	85.44350433
1192	84.70898438
1191	84.06269836
1190	83.55314636
1189	83.11785889
1188	82.94537354
1187	82.90873718
1186	83.01931
1185	83.26828766
1184	83.62182617
1183	84.02062988
1182	84.29291534
1181	84.42920685
1180	84.51346588
1179	84.3635025
1178	84.0901413
1177	83.7266922
1176	83.29970551
1175	82.77619171
1174	82.08235168
1173	81.03859711
1172	78.94245148
1171	75.21325684
1170	69.25700378
1169	61.10814667
1168	50.98057938
1167	40.79418945
1166	31.29127884
1165	23.01688576
1164	16.96675682
1163	12.48640537
1162	9.311569214
1161	6.974122047
1160	5.356467724
1159	4.099404812
1158	3.216226101
1157	2.616983414
1156	2.091585875
1155	1.776973009
1154	1.496016383
1153	1.271195292
1152	1.097674012
1151	0.9802584648
1150	0.8712770343
1149	0.7776024938
1148	0.7058662772
1147	0.5822120905
1146	0.5289065242
1145	0.4497263134
1144	0.377728194
1143	0.3204802871
1142	0.2365127951
1141	0.2251122892
1140	0.1585080028
1139	0.1445502192
1138	0.1192618161
1137	0.0646138787
1136	0.0591936745
1135	0.0367778726
1134	0.0214928072
