#wl,nm	T,%
1810	1.7868926687
1809	1.947404981
1808	2.158421516
1807	2.443681717
1806	2.806664705
1805	3.177847385
1804	3.602174759
1803	4.136794567
1802	4.701485634
1801	5.294268131
1800	5.96712923
1799	6.844920635
1798	7.731059074
1797	8.738298416
1796	9.971907616
1795	11.27326965
1794	12.75942516
1793	14.39709854
1792	16.28399467
1791	18.32138443
1790	20.75284195
1789	23.36520004
1788	26.31388664
1787	29.57106018
1786	33.12985611
1785	36.96267319
1784	41.28569794
1783	46.08620834
1782	50.69557953
1781	55.71552658
1780	60.82553101
1779	65.81417847
1778	70.78642273
1777	75.58235168
1776	79.97854614
1775	83.75377655
1774	87.1370697
1773	89.89041138
1772	92.01407623
1771	93.7352066
1770	94.87363434
1769	95.59104156
1768	95.93732452
1767	96.07189941
1766	96.01070404
1765	95.78521729
1764	95.53444672
1763	95.29864502
1762	95.01384735
1761	94.7917099
1760	94.57385254
1759	94.47418976
1758	94.43876648
1757	94.43758392
1756	94.48946381
1755	94.64757538
1754	94.73921204
1753	94.92995453
1752	95.09439087
1751	95.29945374
1750	95.45548248
1749	95.53226471
1748	95.65519714
1747	95.6901474
1746	95.70573425
1745	95.71281433
1744	95.60188293
1743	95.48684692
1742	95.35031891
1741	95.12911987
1740	94.89486694
1739	94.6659317
1738	94.41526031
1737	94.17006683
1736	93.94393921
1735	93.6714859
1734	93.50453949
1733	93.29263306
1732	93.11898041
1731	93.02941895
1730	92.92373657
1729	92.84288025
1728	92.83522797
1727	92.79323578
1726	92.81214142
1725	92.826828
1724	92.94927216
1723	93.02108002
1722	93.17050934
1721	93.27597809
1720	93.43465424
1719	93.58045197
1718	93.72830963
1717	93.89428711
1716	94.0669632
1715	94.14663696
1714	94.33624268
1713	94.5098114
1712	94.67973328
1711	94.8141098
1710	94.94237518
1709	95.05932617
1708	95.22072601
1707	95.32028961
1706	95.46015167
1705	95.5842514
1704	95.69574738
1703	95.77467346
1702	95.90660095
1701	95.9642868
1700	96.05064392
1699	96.13323975
1698	96.15950775
1697	96.16700745
1696	96.18689728
1695	96.16343689
1694	96.10234833
1693	96.08233643
1692	95.99017334
1691	95.83951569
1690	95.73820496
1689	95.5802002
1688	95.41255951
1687	95.22860718
1686	95.06000519
1685	94.86682129
1684	94.74751282
1683	94.52546692
1682	94.28981781
1681	94.17908478
1680	94.11986542
1679	93.89051819
1678	93.82554626
1677	93.77987671
1676	93.62526703
1675	93.64161682
1674	93.68267059
1673	93.65464783
1672	93.65525818
1671	93.83151245
1670	93.87139893
1669	93.95464325
1668	94.19906616
1667	94.31161499
1666	94.4460144
1665	94.65920258
1664	94.76706696
1663	94.90529633
1662	95.09289551
1661	95.24291992
1660	95.36139679
1659	95.45232391
1658	95.61130524
1657	95.63889313
1656	95.68739319
1655	95.78583527
1654	95.85639954
1653	95.83599091
1652	95.85733032
1651	95.90433502
1650	95.8666687
1649	95.79850769
1648	95.87056732
1647	95.87651825
1646	95.77052307
1645	95.78213501
1644	95.80742645
1643	95.73343658
1642	95.74388123
1641	95.83835602
1640	95.8087616
1639	95.69406128
1638	95.75115204
1637	95.78243256
1636	95.6907196
1635	95.67562103
1634	95.62348938
1633	95.61184692
1632	95.5370636
1631	95.43821716
1630	95.37752533
1629	95.27568054
1628	95.13816071
1627	95.056633
1626	94.99152374
1625	94.8849411
1624	94.69515991
1623	94.6579361
1622	94.61954498
1621	94.42208862
1620	94.36161041
1619	94.43412018
1618	94.40677643
1617	94.33144379
1616	94.38704681
1615	94.6030426
1614	94.64463806
1613	94.65791321
1612	94.87500763
1611	95.16080475
1610	95.23551178
1609	95.39160919
1608	95.66387177
1607	95.8875351
1606	95.99232483
1605	96.21164703
1604	96.42114258
1603	96.60682678
1602	96.72571564
1601	96.79336548
1600	96.89070129
1599	96.99409485
1598	97.02999878
1597	96.9683075
1596	96.96627808
1595	97.00697327
1594	96.92539215
1593	96.74115753
1592	96.64437103
1591	96.61940765
1590	96.50495148
1589	96.23299408
1588	96.06750488
1587	96.03675079
1586	95.80342102
1585	95.47022247
1584	95.21420288
1583	95.12059784
1582	94.82087708
1581	94.49436188
1580	94.23236084
1579	93.93196869
1578	93.6811676
1577	93.41166687
1576	93.03820801
1575	92.68869019
1574	92.46868896
1573	92.16331482
1572	91.88322449
1571	91.54811096
1570	91.3317337
1569	91.21893311
1568	91.0657196
1567	90.86092377
1566	90.73683929
1565	90.77857971
1564	90.866745
1563	90.85494232
1562	90.82079315
1561	91.00204468
1560	91.3314209
1559	91.56341553
1558	91.70975494
1557	91.93122101
1556	92.31772614
1555	92.68328857
1554	92.94454193
1553	93.23566437
1552	93.59333038
1551	93.89913177
1550	94.21189117
1549	94.5293808
1548	94.74554443
1547	95.00614929
1546	95.14919281
1545	95.41693878
1544	95.64302826
1543	95.79602051
1542	95.87692261
1541	95.95188141
1540	96.10005188
1539	96.26122284
1538	96.27476501
1537	96.21596527
1536	96.23861694
1535	96.24494171
1534	96.24756622
1533	96.07995605
1532	95.8418045
1531	95.63433838
1530	95.43745422
1529	95.19701385
1528	94.86697388
1527	94.49188232
1526	94.10622406
1525	93.72479248
1524	93.32159424
1523	92.99222565
1522	92.7130127
1521	92.41187286
1520	92.08276367
1519	91.82682037
1518	91.66578674
1517	91.61937714
1516	91.57465363
1515	91.5660553
1514	91.43757629
1513	91.33905029
1512	91.41972351
1511	91.60331726
1510	91.76911163
1509	91.83956146
1508	92.03779602
1507	92.27484894
1506	92.65369415
1505	93.14452362
1504	93.70161438
1503	94.21722412
1502	94.67388916
1501	94.94572449
1500	94.72608948
1499	93.8711853
1498	92.11686707
1497	89.23389435
1496	84.75087738
1495	78.58667755
1494	71.69326782
1493	63.75045776
1492	55.69438171
1491	48.15408707
1490	40.87401199
1489	34.29436493
1488	28.80875397
1487	24.21092033
1486	20.40541649
1485	17.30723381
1484	14.72320843
1483	12.52336502
1482	10.76470184
1481	9.309275627
1480	8.057892799
1479	6.948421001
1478	6.055873394
1477	5.280186653
1476	4.521699429
1475	3.81969738
1474	3.269644022
1473	2.734052181
1472	2.315001249
1471	1.880715966
1470	1.544775724
1469	1.222782373
1468	0.9910757542
1467	0.817342937
1466	0.6481577158
1465	0.5360376835
1464	0.4387164116
1463	0.3399374783
1462	0.3180098534
1461	0.2222047001
1460	0.1782725006
