#wl,nm	T,%
2400	0.562960
2399	0.5756238199
2398	0.6361092939
2397	0.6597439224
2396	0.7490299527
2395	0.7905397665
2394	0.8729377281
2393	0.8713561549
2392	0.9978614027
2391	1.0673851001
2390	1.1340634756
2389	1.2395117075
2388	1.3413440311
2387	1.4520488289
2386	1.5646662653
2385	1.7047812828
2384	1.9173133304
2383	2.0413299966
2382	2.2248622684
2381	2.4230036906
2380	2.6891705134
2379	2.9517805753
2378	3.2288062597
2377	3.5499187499
2376	3.9401779672
2375	4.3255804198
2374	4.8023987021
2373	5.2901124718
2372	5.8142545795
2371	6.4785457335
2370	7.1387109257
2369	7.9773477027
2368	8.8866623555
2367	9.8749746148
2366	10.9823299653
2365	12.208707617
2364	13.5580404999
2363	15.05719686
2362	16.8300000806
2361	18.746449713
2360	20.7371527896
2359	23.0500530488
2358	25.5327611708
2357	28.0599560317
2356	31.0170071516
2355	34.2861801175
2354	37.5231789136
2353	41.0008297369
2352	44.6679104947
2351	48.3896542943
2350	52.1953467591
2349	56.3011138239
2348	60.2788295757
2347	64.0462559318
2346	67.8764269901
2345	71.4007265194
2344	74.7471424733
2343	78.0474521902
2342	80.9178779336
2341	83.4534197366
2340	85.7895928796
2339	87.634942927
2338	89.1651281485
2337	90.4728282215
2336	91.3899716083
2335	92.1354559942
2334	92.5723723348
2333	92.7269097748
2332	92.894696226
2331	92.7252625622
2330	92.5123043543
2329	92.1827580383
2328	91.824638852
2327	91.3666650725
2326	90.9750471973
2325	90.5450364943
2324	90.1153900878
2323	89.6980582123
2322	89.3384660313
2321	89.0760517321
2320	88.7328525191
2319	88.5807146341
2318	88.400383984
2317	88.2917468728
2316	88.278276124
2315	88.255460583
2314	88.3505556763
2313	88.4916144579
2312	88.6333146924
2311	88.8332218772
2310	89.0771366705
2309	89.2987902874
2308	89.5831806763
2307	89.8444308481
2306	90.1044376827
2305	90.3862384691
2304	90.6849865674
2303	90.9172203834
2302	91.1770688296
2301	91.3016158442
2300	91.4611028627
2299	91.604632458
2298	91.6938751827
2297	91.7309375644
2296	91.7127389851
